Nombre ejercicio,Grupo muscular principal,Grupo muscular secundario,Lugar de entrenamiento: casa/gimnasio,Nivel de dificultad,Material necesario,Equipamiento opcional,Tags GPT,URL video\n\n,,
Peso muerto rumano a una pierna con barra anclada,Glúteo mayor,Femoral,Gimnasio,Avanzado,Barra anclada (landmine),Disco,"bisagra de cadera, multiarticular, avanzado, barra anclada (landmine), hipertrofia, gimnasio, glúteo mayor, femoral",https://drive.google.com/file/d/115QW--_owe--wPyNyttyEIYFy__9EdW6/view?usp=drivesdk,,
Abducción de cadera sentada en máquina,Glúteo medio,Glúteo mayor,Gimnasio,Básico,Máquina de palanca,Ninguno,"bisagra de cadera, multiarticular, básico, máquina de palanca, hipertrofia, gimnasio, glúteo medio, glúteo mayor",https://drive.google.com/file/d/1JPFoE0ubsrX-2sHph7KpfBAcgTI77eCm/view?usp=drivesdk,,
Abducción lateral de cadera en máquina (mujer),Glúteo medio,Glúteo mayor,Gimnasio,Básico,Máquina de palanca,Ninguno,"bisagra de cadera, multiarticular, básico, máquina de palanca, hipertrofia, gimnasio, glúteo medio, glúteo mayor",https://drive.google.com/file/d/12ZVxdcHcCqm7VE9FPysGvaOWsi_46jRO/view?usp=drivesdk,,
Extensión de cadera de pie en máquina,Glúteo mayor,Femoral,Gimnasio,Intermedio,Máquina de palanca,Ninguno,"bisagra de cadera, multiarticular, intermedio, máquina de palanca, hipertrofia, gimnasio, glúteo mayor, femoral",https://drive.google.com/file/d/1zcq7MjyAbIm7_uz9UHKfHQ1m0i4OOl68/view?usp=drivesdk,,
Prensa horizontal a una pierna en máquina,Glúteo mayor,Cuádriceps,Gimnasio,Avanzado,Máquina prensa horizontal,Ninguno,"bisagra de cadera, multiarticular, avanzado, máquina prensa horizontal, hipertrofia, gimnasio, glúteo mayor, cuádriceps",https://drive.google.com/file/d/1XJpI8yxlLLxmtKwUay8zU4WxB8bX9wBg/view?usp=drivesdk,,
Abdominal declinado con banda elástica,Abdominales,Core,Casa/Gimnasio,Intermedio,Banda elástica,Banco declinado,"aislado, aislado, intermedio, banda elástica, hipertrofia, casa, abdominales, core",https://drive.google.com/file/d/1OUulvYop32K7JmtC55zl-RGmnkxRss3e/view?usp=drivesdk,,
Pull through con banda elástica,Glúteo mayor,Femoral,Casa/Gimnasio,Intermedio,Banda elástica,Ninguno,"bisagra de cadera, multiarticular, intermedio, banda elástica, hipertrofia, casa, glúteo mayor, femoral",https://drive.google.com/file/d/1EA9OfFi6UYmSaiVEEtGNoYzYv8clTMIn/view?usp=drivesdk,,
Sentadilla búlgara a una pierna con banda elástica,Glúteo mayor,Cuádriceps,Casa/Gimnasio,Avanzado,Banda elástica,Banco o step,"sentadilla, multiarticular, avanzado, banda elástica, hipertrofia, casa, glúteo mayor, cuádriceps",https://drive.google.com/file/d/1JikQehFsk4Vz0ydoHSl6GT0Qj9lgZa7d/view?usp=drivesdk,,
Sentadilla al banco con barra,Glúteo mayor,Cuádriceps,Gimnasio,Intermedio,Barra,Banco,"sentadilla, multiarticular, intermedio, barra, hipertrofia, gimnasio, glúteo mayor, cuádriceps",https://drive.google.com/file/d/1p0TuLCUREcS_X4iOaetNe2Wgr2tT350D/view?usp=drivesdk,,
Zancadas laterales con barra,Glúteo mayor,Aducción,Gimnasio,Intermedio,Barra,Ninguno,"bisagra de cadera, multiarticular, intermedio, barra, hipertrofia, gimnasio, glúteo mayor, aducción",https://drive.google.com/file/d/1jq07fBj16z_MnB8j8F30oU1n52RzdTgi/view?usp=drivesdk,,
Rack pulls con barra,Glúteo mayor,"Espalda baja, femoral",Gimnasio,Avanzado,Barra,Rack,"bisagra de cadera, multiarticular, avanzado, barra, hipertrofia, gimnasio, glúteo mayor, espalda baja, femoral",https://drive.google.com/file/d/1V5DksHK12238D9SjKx0xb5jYRlLKtU5l/view?usp=drivesdk,,
Peso muerto con piernas rígidas con barra,Glúteo mayor,Femoral,Gimnasio,Intermedio,Barra,Ninguno,"bisagra de cadera, multiarticular, intermedio, barra, hipertrofia, gimnasio, glúteo mayor, femoral",https://drive.google.com/file/d/11_MIO96a0hFyJtX55_z-Ym5940rERIlr/view?usp=drivesdk,,
Peso muerto sumo con barra (mujer),Glúteo mayor,Aducción,Gimnasio,Intermedio,Barra,Ninguno,"bisagra de cadera, multiarticular, intermedio, barra, hipertrofia, gimnasio, glúteo mayor, aducción",https://drive.google.com/file/d/1pQ_kz87eTvNZtsCBjHUixnf48DoFyuu7/view?usp=drivesdk,,
Giro espinal supino (postura de yoga),Glúteo medio,Columna lumbar,Casa/Gimnasio,Básico,Esterilla,Ninguno,"bisagra de cadera, multiarticular, básico, esterilla, hipertrofia, casa, glúteo medio, columna lumbar",https://drive.google.com/file/d/1e2b28gKYOwUdX-Arz6HyUXxDZG2_TWm6/view?usp=drivesdk,,
Patadas de aleteo (versión 2),Glúteo mayor,Core,Casa/Gimnasio,Intermedio,Ninguno,Esterilla,"bisagra de cadera, multiarticular, intermedio, ninguno, hipertrofia, casa, glúteo mayor, core",https://drive.google.com/file/d/1hR9jbGx2ub5c8t0OBXETd5feyNDafXwb/view?usp=drivesdk,,
Elevaciones de piernas rectas colgado,Abdominales inferiores,Flexores de cadera,Gimnasio,Avanzado,Barra fija,Ninguno,"aislado, multiarticular, avanzado, barra fija, hipertrofia, gimnasio, abdominales inferiores, flexores de cadera",https://drive.google.com/file/d/1cWv1S0rQjXB98my2u5afP41gSeITuaKF/view?usp=drivesdk,,
Sentadilla a una pierna con peso corporal,Glúteo mayor,Cuádriceps,Casa/Gimnasio,Avanzado,Ninguno,Banco,"sentadilla, multiarticular, avanzado, ninguno, hipertrofia, casa, glúteo mayor, cuádriceps",https://drive.google.com/file/d/1FLSrNCgCY3OxbODgjRF6QXugydEr7rzb/view?usp=drivesdk,,
Sentadilla a una pierna tipo pistol (peso corporal),Glúteo mayor,Cuádriceps,Casa/Gimnasio,Avanzado,Ninguno,Ninguno,"sentadilla, multiarticular, avanzado, ninguno, hipertrofia, casa, glúteo mayor, cuádriceps",https://drive.google.com/file/d/1TqZt_3opGD1bbbpaGS1hlER_J3-QjXHe/view?usp=drivesdk,,
Zancada estática (mujer),Glúteo mayor,Cuádriceps,Casa/Gimnasio,Intermedio,Ninguno,Ninguno,"bisagra de cadera, multiarticular, intermedio, ninguno, hipertrofia, casa, glúteo mayor, cuádriceps",https://drive.google.com/file/d/17Kuy0fg_9lZ9swC3VwwYG_off3ZOAjhN/view?usp=drivesdk,,
Sentadilla libre (mujer),Glúteo mayor,Cuádriceps,Casa/Gimnasio,Básico,Ninguno,Ninguno,"sentadilla, multiarticular, básico, ninguno, hipertrofia, casa, glúteo mayor, cuádriceps",https://drive.google.com/file/d/13l8cL0-e30BN02-5d6lyc_UrBdIT_59D/view?usp=drivesdk,,
Peso muerto con kettlebell,Glúteo mayor,Femoral,Casa/Gimnasio,Intermedio,Kettlebell,Ninguno,"bisagra de cadera, multiarticular, intermedio, kettlebell, hipertrofia, casa, glúteo mayor, femoral",https://drive.google.com/file/d/1G9GlHY6yd2me4OYlkTAbr0wACFOaRha2/view?usp=drivesdk,,
Hip thrust con banda elástica,Glúteo mayor,Core,Casa/Gimnasio,Intermedio,Banda elástica,Esterilla,"bisagra de cadera, multiarticular, intermedio, banda elástica, hipertrofia, casa, glúteo mayor, core",https://drive.google.com/file/d/1ZplMN4QE1dQ0p0WzW_e7ngxX7NLwqnXW/view?usp=drivesdk,,
Peso muerto a una pierna (peso corporal),Glúteo mayor,"Femoral, core",Casa/Gimnasio,Avanzado,Ninguno,Ninguno,"bisagra de cadera, multiarticular, avanzado, ninguno, hipertrofia, casa, glúteo mayor, femoral, core",https://drive.google.com/file/d/1bh0qiHnQHRYqPDyhNDMWCWHrROPlbsWU/view?usp=drivesdk,,
Peso muerto con máquina Smith,Glúteo mayor,"Femoral, espalda baja",Gimnasio,Intermedio,Máquina Smith,Ninguno,"bisagra de cadera, multiarticular, intermedio, máquina smith, hipertrofia, gimnasio, glúteo mayor, femoral, espalda baja",https://drive.google.com/file/d/18RFLkkm6aAwfrRu59PPbTSiaT_dFtZKQ/view?usp=drivesdk,,
Hip thrust con máquina Smith,Glúteo mayor,Core,Gimnasio,Intermedio,Máquina Smith,Banco,"bisagra de cadera, multiarticular, intermedio, máquina smith, hipertrofia, gimnasio, glúteo mayor, core",https://drive.google.com/file/d/1aWhncvfOFRBanEeLKxjECR5y_3Ssuofi/view?usp=drivesdk,,
Peso muerto con piernas rígidas (Smith),Glúteo mayor,Femoral,Gimnasio,Intermedio,Máquina Smith,Ninguno,"bisagra de cadera, multiarticular, intermedio, máquina smith, hipertrofia, gimnasio, glúteo mayor, femoral",https://drive.google.com/file/d/1na4M7d775YSN8Njc_9rvgMC8kBIhKryz/view?usp=drivesdk,,
Sentadilla sumo con máquina Smith,Glúteo mayor,Aducción,Gimnasio,Intermedio,Máquina Smith,Ninguno,"sentadilla, multiarticular, intermedio, máquina smith, hipertrofia, gimnasio, glúteo mayor, aducción",https://drive.google.com/file/d/16J21csWIB2bHDmn7cxG8ce0O2nxg-QTc/view?usp=drivesdk,,
Flexiones araña (spider crawl push-up),Glúteo medio,"Oblicuos, core",Casa/Gimnasio,Intermedio,Ninguno,Ninguno,"bisagra de cadera, multiarticular, intermedio, ninguno, hipertrofia, casa, glúteo medio, oblicuos, core",https://drive.google.com/file/d/1X3OGKE03HtzYFT1TVk99Kyu1zEZnr_lP/view?usp=drivesdk,,
Prensa de pierna 45° frontal,Glúteo mayor,"Cuádriceps, femoral",Gimnasio,Avanzado,Prensa 45°,Ninguno,"bisagra de cadera, multiarticular, avanzado, prensa 45°, hipertrofia, gimnasio, glúteo mayor, cuádriceps, femoral",https://drive.google.com/file/d/19K95TCicNc4Kr-Cynb7Kxj6Dp2_Beja6/view?usp=drivesdk,,
Prensa de pierna 45° lateral (punto de vista lateral),Glúteo mayor,"Cuádriceps, femoral",Gimnasio,Avanzado,Prensa 45°,Ninguno,"bisagra de cadera, multiarticular, avanzado, prensa 45°, hipertrofia, gimnasio, glúteo mayor, cuádriceps, femoral",https://drive.google.com/file/d/1k90T1Rq9oezHJgT0pCXKtXlJFMH7eYM9/view?usp=drivesdk,,
Peso muerto con barra,Glúteo mayor,"Femoral, espalda baja",Gimnasio,Avanzado,Barra,Discos,"bisagra de cadera, multiarticular, avanzado, barra, hipertrofia, gimnasio, glúteo mayor, femoral, espalda baja",https://drive.google.com/file/d/1HCrAt-IZn1N9lM7EjdNaQ2fXGidD1Etn/view?usp=drivesdk,,
Sentadilla frontal con barra,Glúteo mayor,Cuádriceps,Gimnasio,Avanzado,Barra,Discos,"sentadilla, multiarticular, avanzado, barra, hipertrofia, gimnasio, glúteo mayor, cuádriceps",https://drive.google.com/file/d/1wW9-pvassW7kZCMW1Vxk2coc-DzIW6dj/view?usp=drivesdk,,
Sentadilla hack con barra,Glúteo mayor,"Cuádriceps, femoral",Gimnasio,Avanzado,Barra,Ninguno,"sentadilla, multiarticular, avanzado, barra, hipertrofia, gimnasio, glúteo mayor, cuádriceps, femoral",https://drive.google.com/file/d/1U8yeG-Syjv66WnxOxXcdsliJcZ5sCTSn/view?usp=drivesdk,,
Peso muerto rumano con barra anclada (hombre),Glúteo mayor,"Femoral, core",Gimnasio,Avanzado,Barra + anclaje,Ninguno,"bisagra de cadera, multiarticular, avanzado, barra + anclaje, hipertrofia, gimnasio, glúteo mayor, femoral, core",https://drive.google.com/file/d/1qvQhDfDCk2gW6ETSMS3SH-zE55AsXZms/view?usp=drivesdk,,
Sentadilla sumo con barra anclada (hombre),Glúteo mayor,Aducción,Gimnasio,Intermedio,Barra + anclaje,Ninguno,"sentadilla, multiarticular, intermedio, barra + anclaje, hipertrofia, gimnasio, glúteo mayor, aducción",https://drive.google.com/file/d/1ciw58avcuTjzM_q0BteNKFb1yA-C12yw/view?usp=drivesdk,,
Rollout con barra (deslizamiento abdominal con barra),Core,Glúteo mayor,Gimnasio,Avanzado,Barra + discos,Esterilla,"aislado, multiarticular, avanzado, barra + discos, hipertrofia, gimnasio, core, glúteo mayor",https://drive.google.com/file/d/15jSka4pxsYBm67Wptjw40L4vu7eHnnCu/view?usp=drivesdk,,
Peso muerto a una pierna con barra,Glúteo mayor,Femoral,Gimnasio,Avanzado,Barra,Ninguno,"bisagra de cadera, multiarticular, avanzado, barra, hipertrofia, gimnasio, glúteo mayor, femoral",https://drive.google.com/file/d/1f20365h2yqXnk_8ltVoyjEQh0RFOKDqm/view?usp=drivesdk,,
Zancada búlgara a una pierna con barra,Glúteo mayor,Cuádriceps,Gimnasio,Avanzado,Barra,Banco o step,"bisagra de cadera, multiarticular, avanzado, barra, hipertrofia, gimnasio, glúteo mayor, cuádriceps",https://drive.google.com/file/d/1VhDTvuAzHV2NZxjUhkeEtjevH99boED-/view?usp=drivesdk,,
Zancada búlgara con barra (versión 2),Glúteo mayor,Cuádriceps,Gimnasio,Intermedio,Barra,Banco,"bisagra de cadera, multiarticular, intermedio, barra, hipertrofia, gimnasio, glúteo mayor, cuádriceps",https://drive.google.com/file/d/1euN4CmtkNsx_N6kOqjFOT5TP5V3Kb7mc/view?usp=drivesdk,,
Peso muerto rumano sumo con barra,Glúteo mayor,"Femoral, aductores",Gimnasio,Avanzado,Barra,Ninguno,"bisagra de cadera, multiarticular, avanzado, barra, hipertrofia, gimnasio, glúteo mayor, femoral, aductores",https://drive.google.com/file/d/1apMOLazRHtsYY436-vR6jMlLn9PBneV1/view?usp=drivesdk,,
Estiramiento cruz de hierro (mujer),Glúteo medio,"Columna, glúteo mayor",casa/gimnasio,Básico,Esterilla,Ninguno,"bisagra de cadera, multiarticular, básico, esterilla, hipertrofia, casa, glúteo medio, columna, glúteo mayor",https://drive.google.com/file/d/1cmErdRLGsVG1WQZrfEG6ZvgcACoMygTQ/view?usp=drivesdk,,
Peso muerto con kettlebell (mujer),Glúteo mayor,Femoral,Casa/Gimnasio,Intermedio,Kettlebell,Ninguno,"bisagra de cadera, multiarticular, intermedio, kettlebell, hipertrofia, casa, glúteo mayor, femoral",https://drive.google.com/file/d/1hD3Bijm-DRYUQkAswaPa2mFUJQNcEmoZ/view?usp=drivesdk,,
Peso muerto a una pierna con kettlebell,Glúteo mayor,"Core, femoral",Casa/Gimnasio,Intermedio,Kettlebell,Ninguno,"bisagra de cadera, multiarticular, intermedio, kettlebell, hipertrofia, casa, glúteo mayor, core, femoral",https://drive.google.com/file/d/1b4fe5ejLiL1U2WpZNjEH_GgxRQKV915P/view?usp=drivesdk,,
Balanceo con kettlebell (agarre prono, mujer),Glúteo mayor,"Femoral, deltoides posterior",Casa/Gimnasio,Avanzado,Kettlebell,Ninguno,"bisagra de cadera, multiarticular, avanzado, kettlebell, hipertrofia, casa, glúteo mayor, femoral, deltoides posterior",https://drive.google.com/file/d/1jj_olPE6CynpH8yQLKWn4c39ZlAdxdWY/view?usp=drivesdk,
Peso muerto con piernas rígidas con kettlebell,Glúteo mayor,"Femoral, core",Casa/Gimnasio,Intermedio,Kettlebell,Ninguno,"bisagra de cadera, multiarticular, intermedio, kettlebell, hipertrofia, casa, glúteo mayor, femoral, core",https://drive.google.com/file/d/1-C8xFRJPHksFC-FU1rxX4pP3k4ak6-Rc/view?usp=drivesdk,,
Peso muerto con kettlebell tipo maleta (hombre),Glúteo mayor,"Oblicuos, core",Casa/Gimnasio,Avanzado,Kettlebell,Ninguno,"bisagra de cadera, multiarticular, avanzado, kettlebell, hipertrofia, casa, glúteo mayor, oblicuos, core",https://drive.google.com/file/d/1YirGx0vZLY_qnhZ39YASjN83MSJ0UQvl/view?usp=drivesdk,,
Peso muerto sumo con kettlebell y jalón alto (hombre),Glúteo mayor,"Femoral, deltoides posterior",Casa/Gimnasio,Avanzado,Kettlebell,Ninguno,"bisagra de cadera, multiarticular, avanzado, kettlebell, hipertrofia, casa, glúteo mayor, femoral, deltoides posterior",https://drive.google.com/file/d/1tvYMgO3ODlN3oWHP81z4-_EdNMOoJGuI/view?usp=drivesdk,,
Patada trasera con una pierna y banda (posición inclinada, mujer),Glúteo mayor,"Core, femoral",casa/gimnasio,Intermedio,Banda elástica,Ninguno,"bisagra de cadera, multiarticular, intermedio, banda elástica, hipertrofia, casa, glúteo mayor, core, femoral",https://drive.google.com/file/d/1MBvafxUkqiHzLRAw0X4-BAj0lgYv-PGD/view?usp=drivesdk,
Patada trasera con una pierna y banda (posición inclinada, hombre),Glúteo mayor,"Core, femoral",casa/gimnasio,Intermedio,Banda elástica,Ninguno,"bisagra de cadera, multiarticular, intermedio, banda elástica, hipertrofia, casa, glúteo mayor, core, femoral",https://drive.google.com/file/d/1P39Rm5WNCD4dV9Ev-tX60j5zZRqVVJc5/view?usp=drivesdk,
Prensa de pierna 45° (vista trasera),Glúteo mayor,"Cuádriceps, femoral",Gimnasio,Avanzado,Prensa 45°,Ninguno,"bisagra de cadera, multiarticular, avanzado, prensa 45°, hipertrofia, gimnasio, glúteo mayor, cuádriceps, femoral",https://drive.google.com/file/d/1zmPQdUnegIB0y_GbKcjNQfs8bcVFFLT0/view?usp=drivesdk,,
Peso muerto con máquina Smith (mujer),Glúteo mayor,"Femoral, espalda baja",Gimnasio,Intermedio,Máquina Smith,Ninguno,"bisagra de cadera, multiarticular, intermedio, máquina smith, hipertrofia, gimnasio, glúteo mayor, femoral, espalda baja",https://drive.google.com/file/d/1klLY5SQjLa1E5tBMTpsx5-ly_k_3o48T/view?usp=drivesdk,,
Buenos días con rodillas flexionadas en Smith,Glúteo mayor,Erectores espinales,Gimnasio,Intermedio,Máquina Smith,Ninguno,"bisagra de cadera, multiarticular, intermedio, máquina smith, hipertrofia, gimnasio, glúteo mayor, erectores espinales",https://drive.google.com/file/d/1tJWRES-6uxh2_75FLnUD27dZetZ-DMbe/view?usp=drivesdk,,
Patada trasera arrodillado en máquina Smith,Glúteo mayor,Core,Gimnasio,Intermedio,Máquina Smith,Esterilla,"bisagra de cadera, multiarticular, intermedio, máquina smith, hipertrofia, gimnasio, glúteo mayor, core",https://drive.google.com/file/d/1R23_aVNPKAVd8sTDn8ThVeIT8HOtasDq/view?usp=drivesdk,,
Peso muerto sumo con barra,Glúteo mayor,Aductores,Gimnasio,Avanzado,Barra,Discos,"bisagra de cadera, multiarticular, avanzado, barra, hipertrofia, gimnasio, glúteo mayor, aductores",https://drive.google.com/file/d/1C1WibO29R0SW7ETBRwkNYwTE4rSwwY-C/view?usp=drivesdk,,
Clam con banda elástica,Glúteo medio,"Oblicuos, piriforme",casa/gimnasio,Básico,Banda elástica,Esterilla,"bisagra de cadera, multiarticular, básico, banda elástica, hipertrofia, casa, glúteo medio, oblicuos, piriforme",https://drive.google.com/file/d/1ljQEiP7zWIC6KjS7KIzA3yKN0Qbh0Jy5/view?usp=drivesdk,,
Hip thrust con banda elástica,Glúteo mayor,"Core, femoral",casa/gimnasio,Intermedio,Banda elástica,Esterilla,"bisagra de cadera, multiarticular, intermedio, banda elástica, hipertrofia, casa, glúteo mayor, core, femoral",https://drive.google.com/file/d/1eTHg4YKKWHJEBONDc7jvNUqhslklsirm/view?usp=drivesdk,,
Patada trasera con banda elástica,Glúteo mayor,"Core, femoral",casa/gimnasio,Básico,Banda elástica,Esterilla,"bisagra de cadera, multiarticular, básico, banda elástica, hipertrofia, casa, glúteo mayor, core, femoral",https://drive.google.com/file/d/1X5w1IQfNT9oTOzdYzmhzpf9L4TllDPh1/view?usp=drivesdk,,
Elevación de pierna tumbado con banda (mujer),Glúteo mayor,Femoral,casa/gimnasio,Básico,Banda elástica,Esterilla,"bisagra de cadera, multiarticular, básico, banda elástica, hipertrofia, casa, glúteo mayor, femoral",https://drive.google.com/file/d/1qVf22QA3adMBdFPEDEtQyuUsfi34hg1_/view?usp=drivesdk,,
Estiramiento rodado de rotadores externos y extensores de cadera tumbado,Rotadores externos,Glúteo medio,casa/gimnasio,Básico,Rodillo,Esterilla,"aislado, multiarticular, básico, rodillo, hipertrofia, casa, rotadores externos, glúteo medio",https://drive.google.com/file/d/1BJqlU8d_elNO8wVh6oU_kR-LhZO4kpC_/view?usp=drivesdk,,
Ejercicio con pelota para fortalecer el psoas-ilíaco,Psoas-ilíaco,Core profundo,casa/gimnasio,Básico,Pelota pequeña,Ninguno,"aislado, multiarticular, básico, pelota pequeña, hipertrofia, casa, psoas-ilíaco, core profundo",https://drive.google.com/file/d/1oP1clICcoNCbQLN1L-JvyJYpPXG9gFtM/view?usp=drivesdk,,
Ejercicio con pelota para fortalecer el tensor de la fascia lata,Tensor fascia lata,Glúteo medio,casa/gimnasio,Básico,Pelota pequeña,Ninguno,"aislado, multiarticular, básico, pelota pequeña, hipertrofia, casa, tensor fascia lata, glúteo medio",https://drive.google.com/file/d/1nQNOp3vy-oixr-b6Sm_wpFu16IjSA8v_/view?usp=drivesdk,,
Técnica con pelota para liberar el piriforme,Piriforme,Glúteo medio,casa/gimnasio,Básico,Pelota pequeña,Ninguno,"aislado, multiarticular, básico, pelota pequeña, hipertrofia, casa, piriforme, glúteo medio",https://drive.google.com/file/d/1jxn-Ez5GfvUM5Xrb-bQDntKDeaCl5xas/view?usp=drivesdk,,
Hip thrust con rodillo (mujer),Glúteo mayor,Core,casa/gimnasio,Intermedio,Rodillo,Esterilla,"bisagra de cadera, multiarticular, intermedio, rodillo, hipertrofia, casa, glúteo mayor, core",https://drive.google.com/file/d/1Arbtftz3nQO8jbH7989doFlx4x3muRb1/view?usp=drivesdk,,
Estiramiento lateral de cadera con rodillo,Glúteo medio,Lumbares,casa/gimnasio,Básico,Rodillo,Ninguno,"bisagra de cadera, multiarticular, básico, rodillo, hipertrofia, casa, glúteo medio, lumbares",https://drive.google.com/file/d/1WOT08Q6pbK5jpuN1Z5U17VH4Zk4dN_vn/view?usp=drivesdk,,
Estiramiento de cadera con rodillo,Glúteo medio,Rotadores externos,casa/gimnasio,Básico,Rodillo,Esterilla,"bisagra de cadera, multiarticular, básico, rodillo, hipertrofia, casa, glúteo medio, rotadores externos",https://drive.google.com/file/d/1xDWmz8Q1vXjbic7UFzzRYLrv-hWmcRcP/view?usp=drivesdk,,
Abducción de cadera sentado con banda elástica,Glúteo medio,Tensor fascia lata,casa/gimnasio,Básico,Banda elástica,Silla,"bisagra de cadera, multiarticular, básico, banda elástica, hipertrofia, casa, glúteo medio, tensor fascia lata",https://drive.google.com/file/d/1Kn_m1PD-AYnsp6bbgIe_G5ldIIAlOLC-/view?usp=drivesdk,,
Abducción de cadera sentado con banda elástica (mujer),Glúteo medio,Tensor fascia lata,casa/gimnasio,Básico,Banda elástica,Silla,"bisagra de cadera, multiarticular, básico, banda elástica, hipertrofia, casa, glúteo medio, tensor fascia lata",https://drive.google.com/file/d/1qNCNd9Qezr_64vFX_hhEhUJ1zx4eSNPi/view?usp=drivesdk,,
Hip thrust a una pierna con barra,Glúteo mayor,"Femoral, core",Gimnasio,Avanzado,Barra,Banco,"bisagra de cadera, multiarticular, avanzado, barra, hipertrofia, gimnasio, glúteo mayor, femoral, core",https://drive.google.com/file/d/13oGe1qscMlliOMrKiwNcb132MT1YUsEl/view?usp=drivesdk,,
Puente de glúteos a una pierna en banco (mujer),Glúteo mayor,"Core, femoral",Casa/Gimnasio,Intermedio,Banco,Esterilla,"bisagra de cadera, multiarticular, intermedio, banco, hipertrofia, casa, glúteo mayor, core, femoral",https://drive.google.com/file/d/1dw5lE1WrJxpfr5BL-L2RTQm3ODgzpTSR/view?usp=drivesdk,,
Prensa a una pierna en trineo 45°,Glúteo mayor,Cuádriceps,Gimnasio,Avanzado,Prensa 45°,Ninguno,"bisagra de cadera, multiarticular, avanzado, prensa 45°, hipertrofia, gimnasio, glúteo mayor, cuádriceps",https://drive.google.com/file/d/1xUQ5egt5WY7EaswYZSLrO-vPd8xaOn_A/view?usp=drivesdk,,
Hack squat en máquina de trineo,Glúteo mayor,"Cuádriceps, femoral",Gimnasio,Avanzado,Sled machine,Ninguno,"bisagra de cadera, multiarticular, avanzado, sled machine, hipertrofia, gimnasio, glúteo mayor, cuádriceps, femoral",https://drive.google.com/file/d/1Qx8RMx0hy7XDFijvQusyfQ5x6OY4XKDl/view?usp=drivesdk,,
Elevación de cadera tumbado con fitball,Glúteo mayor,Core,casa/gimnasio,Básico,Fitball,Esterilla,"bisagra de cadera, multiarticular, básico, fitball, hipertrofia, casa, glúteo mayor, core",https://drive.google.com/file/d/1Rg31oJz5QEdGLyRFv1WqAI8pt50PzBAL/view?usp=drivesdk,,
Caminata lateral con banda elástica (mujer),Glúteo medio,Tensor fascia lata,casa/gimnasio,Básico,Banda elástica,Ninguno,"bisagra de cadera, multiarticular, básico, banda elástica, hipertrofia, casa, glúteo medio, tensor fascia lata",https://drive.google.com/file/d/12MjlO0PitBopzQUHLygtfdMoc8542jwj/view?usp=drivesdk,,
Escalador con TRX (mujer),Core,Cuádriceps,Casa/Gimnasio,Intermedio,TRX,Esterilla,"aislado, multiarticular, intermedio, trx, hipertrofia, casa, core, cuádriceps",https://drive.google.com/file/d/1E2eqTT5bRaQH3oW_q94c-a5U2UQWPkNf/view?usp=drivesdk,,
Zancada búlgara a una pierna con TRX (mujer),Glúteo mayor,Cuádriceps,Casa/Gimnasio,Avanzado,TRX,Ninguno,"bisagra de cadera, multiarticular, avanzado, trx, hipertrofia, casa, glúteo mayor, cuádriceps",https://drive.google.com/file/d/1NVLHBsCl8eUlsyoD1dt-4oOezOB7SXue/view?usp=drivesdk,,
Abducción de cadera con TRX (mujer),Glúteo medio,Tensor fascia lata,Casa/Gimnasio,Intermedio,TRX,Ninguno,"bisagra de cadera, multiarticular, intermedio, trx, hipertrofia, casa, glúteo medio, tensor fascia lata",https://drive.google.com/file/d/1fOkCRq3TleXfizhAo8PC_4CvISx7OB2V/view?usp=drivesdk,,
Puente de glúteos con TRX (mujer),Glúteo mayor,Core,Casa/Gimnasio,Intermedio,TRX,Esterilla,"bisagra de cadera, multiarticular, intermedio, trx, hipertrofia, casa, glúteo mayor, core",https://drive.google.com/file/d/1HlILAGI-oZg0hV5StuyYox-VFnJyaDPp/view?usp=drivesdk,,
Peso muerto a una pierna con TRX (mujer),Glúteo mayor,"Femoral, core",Casa/Gimnasio,Avanzado,TRX,Ninguno,"bisagra de cadera, multiarticular, avanzado, trx, hipertrofia, casa, glúteo mayor, femoral, core",https://drive.google.com/file/d/1yBDPNEkYSOHlCSfcGXjOVCYVnx2Nqbut/view?usp=drivesdk,,
Sentadilla con salto (mujer),Cuádriceps,Glúteo mayor,casa/gimnasio,Intermedio,Ninguno,Esterilla,"sentadilla, multiarticular, intermedio, ninguno, hipertrofia, casa, cuádriceps, glúteo mayor",https://drive.google.com/file/d/1QQnnCAoVmNuN5JtkLScPnscaTIgaNe5-/view?usp=drivesdk,,
Subida con salto (hombre),Cuádriceps,Glúteo mayor,Casa/Gimnasio,Avanzado,Banco o step,Ninguno,"aislado, multiarticular, avanzado, banco o step, hipertrofia, casa, cuádriceps, glúteo mayor",https://drive.google.com/file/d/11VRVQTHNAbDsPJbdouPnW4lfw8k60P0q/view?usp=drivesdk,,
Sentadilla con salto – guía completa,Cuádriceps,Glúteo mayor,casa/gimnasio,Intermedio,Ninguno,Esterilla,"sentadilla, multiarticular, intermedio, ninguno, hipertrofia, casa, cuádriceps, glúteo mayor",https://drive.google.com/file/d/17S3q76AnVnoNDsXfKrfoVUh9anKYly83/view?usp=drivesdk,,
Carrera y salto con media sentadilla (mujer),Cuádriceps,Glúteo mayor,casa/gimnasio,Avanzado,Ninguno,Esterilla,"sentadilla, multiarticular, avanzado, ninguno, hipertrofia, casa, cuádriceps, glúteo mayor",https://drive.google.com/file/d/1zkqCTUXPg_ho2p0dTjaBAtjeMiE6ph2s/view?usp=drivesdk,,
